"","Distinct-directional (dn)","Mixed-directional (dn)","Non-directional","Mixed-directional (up)","Distinct-directional (up)"
"KEGG_MM_ECM-RECEPTOR_INTERACTION",0.99695,0.94031,0.35416,0.18913,0.0031497
"KEGG_MM_ENDOCYTOSIS",0.91081,0.951305,0.87201,0.63054,0.089291
"KEGG_MM_EPSTEIN-BARR_VIRUS_INFECTION",0.96095,0.949205,0.59374,0.260125,0.0357465
"KEGG_MM_ETHER_LIPID_METABOLISM",0.54855,0.687285,0.39476,0.093991,0.45155
"KEGG_MM_FATTY_ACID_METABOLISM",0.00019998,0.0957405,0.32827,0.94571,0.9999
"KEGG_MM_FAT_DIGESTION_AND_ABSORPTION",0.84512,0.68173,0.25777,0.10959,0.15498
"KEGG_MM_FC_GAMMA_R-MEDIATED_PHAGOCYTOSIS",0.79517,0.264525,0.14889,0.18888,0.19638
"KEGG_MM_FOCAL_ADHESION",0.9995,0.5101,0.36286,0.34367,0.00059994
"KEGG_MM_FOLATE_BIOSYNTHESIS",0.78907,0.11889,0.034497,0.051995,0.21108
"KEGG_MM_GLUTATHIONE_METABOLISM",0.32462,0.62969,0.36896,0.140885,0.67548
"KEGG_MM_GRAFT-VERSUS-HOST_DISEASE",0.86706,0.89386,0.48255,0.20073,0.13314
"KEGG_MM_HIPPO_SIGNALING_PATHWAY",0.949905,0.61434,0.22928,0.150485,0.050195
"KEGG_MM_HTLV-I_INFECTION",0.961,0.979,0.83712,0.454155,0.0431955
"KEGG_MM_HUNTINGTONS_DISEASE",9.999e-05,0.000249975,0.0021998,0.92616,1
"KEGG_MM_HYPERTROPHIC_CARDIOMYOPATHY",0.96005,0.74258,0.49995,0.33717,0.040046
"KEGG_MM_INFLUENZA_A",0.92441,0.953555,0.49835,0.27037,0.0756925
"KEGG_MM_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.9812,NA,0.039096,0.038846,0.019948
"KEGG_MM_LEGIONELLOSIS",0.39651,0.54655,0.31987,0.20583,0.60484
"KEGG_MM_LEISHMANIASIS",0.935355,NA,0.62184,0.62469,0.0647435
"KEGG_MM_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.9824,0.66133,0.26177,0.17658,0.0162485
"KEGG_MM_LINOLEIC_ACID_METABOLISM",9.999e-05,0.00019998,9.999e-05,0.56879,1
"KEGG_MM_MAPK_SIGNALING_PATHWAY",0.91826,0.80357,0.48545,0.23933,0.082642
"KEGG_MM_MELANOMA",0.138635,0.033597,0.13359,0.58184,0.861465
"KEGG_MM_METABOLIC_PATHWAYS",9.999e-05,9.999e-05,0.00019998,0.76967,1
"KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",9.999e-05,0.000249975,0.0016998,0.59759,1
"KEGG_MM_MINERAL_ABSORPTION",0.45795,0.61274,0.44356,0.224675,0.54215
"KEGG_MM_MRNA_SURVEILLANCE_PATHWAY",0.99915,NA,0.17618,0.17108,0.00094993
"KEGG_MM_NEUROACTIVE_LIGAND",0.93756,0.9862,0.28577,0.0818915,0.062544
"KEGG_MM_NEUROTROPHIN_SIGNALING_PATHWAY",0.952,0.423305,0.35086,0.436005,0.048295
"KEGG_MM_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.74118,0.0739425,0.047495,0.145785,0.25892
"KEGG_MM_NON-SMALL_CELL_LUNG_CANCER",0.22403,0.033597,0.55954,0.90011,0.77607
"KEGG_MM_NUCLEOTIDE_EXCISION_REPAIR",0.89426,NA,0.68813,0.69108,0.10584
"KEGG_MM_ONE_CARBON_POOL_BY_FOLATE",0.87766,0.86621,0.26497,0.0152985,0.12244
"KEGG_MM_OOCYTE_MEIOSIS",0.91461,0.46955,0.35636,0.35386,0.083992
"KEGG_MM_OXIDATIVE_PHOSPHORYLATION",9.999e-05,0.00029997,0.00069993,0.87011,1
"KEGG_MM_P53_SIGNALING_PATHWAY",0.31937,0.0082992,0.13589,0.58624,0.68073
"KEGG_MM_PARKINSONS_DISEASE",9.999e-05,0.00019998,0.00029997,0.65823,1
"KEGG_MM_PEROXISOME",0.00259975,0.30552,0.53555,0.89666,0.9975
"KEGG_MM_PERTUSSIS",0.9919,0.87041,0.26817,0.1084405,0.00779925
"KEGG_MM_PHAGOSOME",0.96595,0.89611,0.55474,0.24458,0.0341465
"KEGG_MM_PPAR_SIGNALING_PATHWAY",0.0068993,0.048195,0.11879,0.61064,0.9932
"KEGG_MM_PROPANOATE_METABOLISM",0.00049995,0.130485,0.09829,0.46665,0.9996
"KEGG_MM_PROTEASOME",0.9655,0.64414,0.58384,0.58429,0.0349465
"KEGG_MM_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.0027497,0.030097,0.067393,0.78177,0.99735
"KEGG_MM_PURINE_METABOLISM",0.9969,0.97675,0.26187,0.0141986,0.0031997
"KEGG_MM_PYRIMIDINE_METABOLISM",0.89901,0.83647,0.31767,0.0531945,0.10109
"KEGG_MM_REGULATION_OF_ACTIN_CYTOSKELETON",0.9986,0.0955905,0.016398,0.052295,0.00149985
"KEGG_MM_RETINOL_METABOLISM",0.000649935,0.0089991,0.19798,0.9866,0.99945
"KEGG_MM_RIBOSOME",0.000149985,0.020548,0.10729,0.88216,0.99995
"KEGG_MM_RIBOSOME_BIOGENESIS_IN_EUKARYOTES",0.89511,0.87951,0.81292,0.655335,0.104991
"KEGG_MM_RNA_DEGRADATION",0.91726,0.99115,0.77002,0.14024,0.082842
"KEGG_MM_RNA_TRANSPORT",0.98565,1,0.988,0.57099,0.015498
"KEGG_MM_SALMONELLA_INFECTION",0.94246,0.264525,0.078192,0.083892,0.057644
"KEGG_MM_SEROTONERGIC_SYNAPSE",0.00454955,0.0031497,0.068993,0.86441,0.99555
"KEGG_MM_SMALL_CELL_LUNG_CANCER",0.81232,0.0082992,0.037096,0.17543,0.18813
"KEGG_MM_SPLICEOSOME",1,0.95745,0.010799,0.00364965,9.999e-05
"KEGG_MM_STAPHYLOCOCCUS_AUREUS_INFECTION",0.98225,0.22158,0.0085991,0.0071993,0.017848
"KEGG_MM_STARCH_AND_SUCROSE_METABOLISM",0.31302,0.32297,0.10969,0.0942905,0.67433
"KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS",0.00554945,0.038896,0.036196,0.32922,0.99455
"KEGG_MM_SULFUR_METABOLISM",0.029247,0.039296,0.060094,0.4927,0.97085
"KEGG_MM_SULFUR_RELAY_SYSTEM",0.0942915,0.043346,0.18798,0.86041,0.90581
"KEGG_MM_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.99615,0.71918,0.20638,0.13044,0.0039496
"KEGG_MM_THYROID_CANCER",0.83702,0.71918,0.40726,0.21268,0.16308
"KEGG_MM_TIGHT_JUNCTION",0.99805,0.85626,0.32827,0.17258,0.0019498
"KEGG_MM_TOXOPLASMOSIS",0.93021,0.42046,0.34987,0.33917,0.069893
"KEGG_MM_TRYPTOPHAN_METABOLISM",0.0062994,0.0487955,0.21708,0.853365,0.9938
"KEGG_MM_TYPE_I_DIABETES_MELLITUS",0.76982,0.92216,0.62974,0.20073,0.23038
"KEGG_MM_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.89821,NA,0.88911,0.88706,0.101891
"KEGG_MM_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.9891,NA,0.76052,0.75507,0.0109987
"KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",9.999e-05,0.023048,0.039096,0.81442,1
"KEGG_MM_VASOPRESSIN-REGULATED_WATER_REABSORPTION",0.97015,0.99755,0.64184,0.43141,0.029947
"KEGG_MM_VIRAL_CARCINOGENESIS",0.98245,0.79702,0.70883,0.59719,0.0176485
"KEGG_MM_VITAMIN_B6_METABOLISM",0.033247,0.00819915,0.019298,0.41346,0.966855
"KEGG_MM_VITAMIN_DIGESTION_AND_ABSORPTION",0.9766,NA,0.18458,0.18683,0.0234975
